Keys,en_US,en_GB,de_DE,fr_FR,es_ES,ar_AE,ru_RU
AddFlightAirWaybillDocuments,Add Flight Air Waybill Documents,Add Flight Air Waybill Documents,Fügen Sie Flug-Luftfrachtbriefdokumente hinzu,Ajouter des documents de lettre de transport aérien,Agregar documentos de guía aérea de vuelo,أضف مستندات بوليصة الشحن الجوي للرحلة,Добавить документы авианакладной на рейс
AddStatus,Add Status,Add Status,Status hinzufügen,Ajouter un statut,Agregar estado,أضف الحالة,Добавить статус
AirWaybill,Air Waybill,Air Waybill,Luftfrachtbrief,Lettre de transport aérien,Carta de porte aéreo,بوليصة الشحن الجوي,Авианакладная
AirWaybillDocuments,Air Waybill Documents,Air Waybill Documents,Luftfrachtbriefdokumente,Documents de lettre de transport aérien,Documentos de guía aérea,وثائق بوليصة الشحن الجوي,Документы авианакладной
Cancel,Cancel,Cancel,Stornieren,Annuler,Cancelar,يلغي,Отмена
Date,Date,Date,Datum,Date,Fecha,تاريخ,Дата
DisplayOptions,Display Options,Display Options,Anzeigeoptionen,Option d'affichage,Opciones de pantalla,خيارات العرض,Показать варианты
DocumentStatus,Document Status,Document Status,Dokumentstatus,Statut du document,Estado del documento,حالة المستند,Статус документа
Identifier,Identifier,Identifier,Kennung,Identifiant,Identificador,المعرف,Идентификатор
InboundAirWaybill,Inbound Air Waybill,Inbound Air Waybill,Eingehender Luftfrachtbrief,Lettre de transport aérien entrant,Carta de porte aéreo entrante,بوليصة الشحن الجوي الواردة,Входящая авианакладная
OutboundAirWaybill,Outbound Air Waybill,Outbound Air Waybill,Ausgehender Luftfrachtbrief,Lettre de transport aérien sortant,Carta de porte aéreo de salida,بوليصة الشحن الجوي الصادرة,Исходящая авианакладная
Remarks,Remarks,Remarks,Bemerkungen,Remarques,Observaciones,ملاحظات,Примечания
TemporaryAirWaybillDocuments,Temporary Air Waybill Documents,Temporary Air Waybill Documents,Temporäre Luftfrachtbriefdokumente,Documents de lettre de transport aérien temporaires,Documentos temporales de guía aérea,وثائق بوليصة الشحن الجوي المؤقتة,Документы временной авианакладной
Time,Time,Time,Zeit,Temps,Tiempo,وقت,Время
